date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:17:04	30176/30176	---MCZ	200	added ('OK')	text/html	etag:W/%22889394652e6ef109e86ee1ded3e4ab63%22	https://jcinuniben-reg.vercel.app/	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/index.html	(from )
03:17:04	1488/1488	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Jul%202025%2002:17:07%20GMT	https://jcinuniben-reg.vercel.app/robots.txt		(from )
03:17:06	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Jul%202025%2002:17:09%20GMT	https://jcinuniben-reg.vercel.app/images/favicon.ico	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images/favicon.1.delayed	(from https://jcinuniben-reg.vercel.app/)
03:17:07	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Jul%202025%2002:17:10%20GMT	https://jcinuniben-reg.vercel.app/images/apple-touch-icon.png	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images/apple-touch-icon.2.delayed	(from https://jcinuniben-reg.vercel.app/)
03:17:09	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Jul%202025%2002:17:11%20GMT	https://jcinuniben-reg.vercel.app/images/favicon-32x32.png	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images/favicon-32x32.3.delayed	(from https://jcinuniben-reg.vercel.app/)
03:17:10	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Jul%202025%2002:17:13%20GMT	https://jcinuniben-reg.vercel.app/images/favicon-16x16.png	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images/favicon-16x16.4.delayed	(from https://jcinuniben-reg.vercel.app/)
03:17:11	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Jul%202025%2002:17:14%20GMT	https://jcinuniben-reg.vercel.app/images/site.webmanifest	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images/site.5.delayed	(from https://jcinuniben-reg.vercel.app/)
03:17:12	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://jcinuniben-reg.vercel.app/)
03:17:13	30889/30889	---MCZ	200	added ('OK')	text/css	etag:W/%2227c9fb52b4cca040154803ca05d451cc%22	https://jcinuniben-reg.vercel.app/style.css	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/style.css	(from https://jcinuniben-reg.vercel.app/)
03:17:14	67236/67236	---M--	200	added ('OK')	image/webp	etag:%2281084bb35fde7a91b2e0b226ced14c83%22	https://jcinuniben-reg.vercel.app/images2/logo.webp	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/images2/logo.webp	(from https://jcinuniben-reg.vercel.app/)
03:17:15	30176/30176	---MCZ	200	added ('OK')	text/html	etag:W/%22889394652e6ef109e86ee1ded3e4ab63%22	https://jcinuniben-reg.vercel.app/index.html	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/index-2.html	(from https://jcinuniben-reg.vercel.app/)
03:17:16	18445/18445	---MCZ	200	added ('OK')	text/html	etag:W/%228766a4412bf62c57d33f5c98c1503f08%22	https://jcinuniben-reg.vercel.app/about.html	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/about.html	(from https://jcinuniben-reg.vercel.app/)
03:17:17	17354/17354	---MCZ	200	added ('OK')	text/html	etag:W/%2260c860cfc70f885745bd3fc63dfe5184%22	https://jcinuniben-reg.vercel.app/personaldevelopment.html	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/personaldevelopment.html	(from https://jcinuniben-reg.vercel.app/)
03:17:18	17318/17318	---MCZ	200	added ('OK')	text/html	etag:W/%22f9e3434df9af362ea3fbd80fa716869b%22	https://jcinuniben-reg.vercel.app/businessentrepreneurship.html	C:/My%20Web%20Sites/JCIN%20UNIBEN%20WEBSITE/jcinuniben-reg.vercel.app/businessentrepreneurship.html	(from https://jcinuniben-reg.vercel.app/)
